CourseId,Review,Label,language,sentiment,clean_review
edinburgh-music-theory,"They just throw all the material at you without giving you enough explanations or exercises. This situation gets worse in the last two weeks and you can hardly breathe. It is like, ""Okay now we have learned that 1+2=3. Let's talk about calculus.""",3,en,neutral,throw material give explanation exercise situation get bad week hardly breathe like okay learn let talk calculus
engineering-mechanics-statics,Thank you very much. I had learnt more information in this course. You have a very good and simple way to explain the problem. thank you again,5,en,positive,thank learn information course good simple way explain problem thank
responsive-web-design,The course is useful. I've learned many things but in the last week the lectures seemed very rushed. There was many coding that was poorly explained or not explained at all. It started good but ended poorly.,3,en,neutral,course useful learn thing week lecture rush coding poorly explain explain start good end poorly
innovating-digital-world,"Succinct, relevant & lively coverage of topics. ***** rating couldn't be given in the absence of Certificate. Frankly, issuing a certificate doesn't seem a lot of work.",3,en,neutral,succinct relevant lively coverage topic rating give absence certificate frankly issue certificate lot work
learning-how-to-learn,Excellent course content. I am convinced to learn a lot about learning how to learn from it.,5,en,positive,excellent course content convinced learn lot learn learn
iot,thank you for all preparations and really nice videos,5,en,positive,thank preparation nice video
nonprofit-organizations,"This course has great potential as it is an extraordinarily timely topic, domestically and globally. The accessible required reading assignments were thought provoking and topical. Also, one of the required videos proved helpful, and a couple of the optional Ted talks were ""must see's"" for anyone involved in the non-profit sector.It was problematic that there was so little direction with respect to how one might access the required reading materials that were not linked into the course syllabus. In fact, one of the links provided simply directed the learners to a youtube video, extolling the virtues of the book wherein the required chapter was located. Another blatant colleague marketing technique occurred during the course of one of the required videos wherein the organizer interviewed an author about his book. (There was some helpful substantive information that came out of that interview, but for the most part, I felt as though I was watching an infomercial.) Requests for help fell on deaf ears, except for those of co-learners.A small, but annoying, flaw was that the professors were simply reading text from their slides, for the video component of the course--with an additional word thrown in, on occasion, for good measure. It would have been less distracting just to have the slides to read.I wish this course had been designed and taught to the standards I have come to expect from Coursera courses. It could have been one of the most valuable yet.",2,en,negative,course great potential extraordinarily timely topic domestically globally accessible require reading assignment think provoking topical require video prove helpful couple optional ted talk involve non profit problematic little direction respect access require reading material link course syllabus fact link provide simply direct learner youtube video extoll virtue book require chapter locate blatant colleague marketing technique occur course require video organizer interview author book helpful substantive information come interview feel watch infomercial request help fall deaf ear co small annoying flaw professor simply read text slide video component course additional word throw occasion good measure distract slide wish course design teach standard come expect coursera course valuable
python-data-analysis,"Instructor gives minimal examples and says ""go look on stack overflow"". Then he proceeds to assign problems that don't really cover what the slides, lectures, or examples were on. If I all I was trying to do was just read some docs and look on stack overflow I wouldn't need to take this course now would I?Poorly translated and cryptic instructions for assembling furniture are better than what you get here.",1,en,negative,instructor give minimal example say look stack overflow proceed assign problem cover slide lecture example try read doc look stack overflow need course translate cryptic instruction assemble furniture well
robotics-flight,"I liked the course and the assignments. I felt that the assignments covered materials which weren't part of the course or not explained well enough. I managed to get through them, but it felt lacking.",4,en,positive,like course assignment feel assignment cover material course explain manage feel lacking
science-of-meditation,A waste of my time.,1,en,negative,waste time
python-capstone,"The only thing I had to do in this course regarding the required assignments was to change python 2.7 code to 3.4 as that's what I'm using.Presentations didn't add much towards the learning either. Definite downgrade from previous courses, especially from the first three.",2,en,negative,thing course require assignment change python code add learning definite downgrade previous course especially
video-game-world,"The course is fun but the content is too general. I like to know more methods and technics to develop a game world, considering genres, mechanics and gameplay options.",3,en,neutral,course fun content general like know method technic develop game world consider genre mechanic gameplay option
videojuegos-intro,"Introduction course to other courses, not much to learn here. And also some quizzes question were never addressed on the content.",3,en,neutral,introduction course course learn quiz question address content
duke-programming-web,It was a very helpful and interesting course learned a lot from it.,5,en,positive,helpful interesting course learn lot
fundamentals-of-graphic-design,good course structure for beginners !,5,en,positive,good course structure beginner
uva-darden-market-analytics,"Interesting, and helpful.",3,en,neutral,interesting helpful
image-processing,"I'm quite sure you need a quite strong background in maths to be able to really understand this course, it should have more math lessons, or readings about it.",3,en,neutral,sure need strong background math able understand course math lesson reading
machine-learning-data-analysis,"Excellent course, some basic tecniques of Machine Learning are implemented in Python and SAS.",4,en,positive,excellent course basic tecnique machine learning implement python sas
swift-programming,"The pair review it's really not the way to go. If you don't have the horse power to check it yourself, create automated tests to pass like other courses.",2,en,negative,pair review way horse power check create automate test pass like course
machine-learning,Challenging material - great teacher,5,en,positive,challenge material great teacher
duke-programming-web,"This course, starting from week 3 in NOT for beginners at all. If you are truly new to programming you would understand nothing from the Java Script part of the course. A lot of people complain about the same issue during the course.",1,en,negative,course start week beginner truly new program understand java script course lot people complain issue course
ml-clustering-and-retrieval,Interesting content but explanations are less clear with respect to the other courses of the ML Specialization,3,en,neutral,interesting content explanation clear respect course ml specialization
ml-foundations,I really liked the fact that we were given an overview of all the machine learning techniques before we actually delve deeper. However I would have rather appreciated it further if we used open source python libraries rather than graphlab!I think the use of graphlab really did limit our scalability and use elsewhere other than on the course.Please do consider using open source tools in further courses and also provide starter code for the assignments in one open source library in addition to the code provided using graphlab.,3,en,neutral,like fact give overview machine learn technique actually delve deep appreciate open source python library think use graphlab limit scalability use consider open source tool course provide starter code assignment open source library addition code provide graphlab
advanced-calculus,Thank you so much.,5,en,positive,thank
business-intelligence-tools,"lecture too focus on the theory that not very useful on business world. The BI tool ""microStrategy"" used in the homework is too slow and crash from time to time.",1,en,negative,lecture focus theory useful business world bi tool microstrategy homework slow crash time time
work-smarter-not-harder,"The information is probably great, but the instructor speaks way too slowly in the videos and it's very difficult to listen to. I switched to reading it as a transcript but that generates as a .txt file which is also very difficult to read as it's not broken into paragraphs.",2,en,negative,information probably great instructor speak way slowly video difficult listen switch read transcript generate file difficult read break paragraph
web-frameworks,"Excellent for absolute beginners! But, if you have good experience in CSS & JavaScript you might play it at 1.5X, it is too informative to be attended by someone who knows even a little, it might be boring, then.Generally, the course is very informative, rich, instructions based and have very good exercises covering all the course content with a good-as-a-start hands on experience.",3,en,neutral,excellent absolute beginner good experience css javascript play informative attend know little boring course informative rich instruction base good exercise cover course content good start hand experience
robotics-flight,"Includes advanced mathematics, I can only recommend this course to students who have a greater understanding of programming and math.",3,en,neutral,include advanced mathematic recommend course student great understanding programming math
capital-markets,It was a great lecture and an eye opener to me.,5,en,positive,great lecture eye opener
java-for-android,if you're a somewhat experienced programmer looking to start and hand on learn how to build apps this course is not for you.,3,en,neutral,somewhat experienced programmer look start hand learn build app course
public-health-depression,"The second week, by Wietse Tol, is simply brilliant. I learned a lot about the etic and emic perspective on depression, and his insights about sociocultural factors are amazing. On the other hand, the last two weeks are boring and dull: they take the typical psychiatric bias and simply ignore any research compromising their orthodoxy (for example, Kirsch's studies). It would be interesting to include, as well, critiques to the concept of depression as well: there are transdiagnostic approaches expanding quite quickly, besides classical critiques of DSM categories. Overall, I would focus on the first three weeks and ignore the rest.",3,en,neutral,second week wietse tol simply brilliant learn lot etic emic perspective depression insight sociocultural factor amazing hand week boring dull typical psychiatric bias simply ignore research compromise orthodoxy example kirsch study interesting include critique concept depression transdiagnostic approach expand quickly classical critique dsm category overall focus week ignore rest
interface-with-arduino,"I do like the course, but Coursera has disabled discussion forums for this course, which makes it impossible for the students to interact and find answers to problems or discuss possible errors in the example code. Student interaction is one of the strongest aspect of MOOCs. Without it, this might as well be nothing more than a series of YouTube videos.Had Coursera not discontinued the discussion forums, I'd have given this course four or five stars.",2,en,negative,like course coursera disabled discussion forum course make impossible student interact find answer problem discuss possible error example code student interaction strong aspect mooc series youtube coursera discontinue discussion forum give course star
scala-spark-big-data,"I understand that creating such a course is a tremendous amount of work. Let me congratulation the developers for all their hard work. I learned a lot. I'm glad I good the course, and I'm speechless that I finally finished it with a passing albeit imperfect score. This was the maiden voyage and it has some problems that should probably be corrected. That's my opinion.There were generally two sets of challenges with each assignment exercise (1) undemanding the scala/big-data component, and (2) understand what's being asked. Sometimes the comment in the code are wrong or misleading. In particular in the 2nd set of exercises. The functions are very poorly specified, and there are no unit tests. there should be one or the other. Without a specification the user cannot write his own tests. In addition the 2nd exercise is intended to be do-able, but not efficiently until the user views week 3's videos. Because of this the text output is EXTREMELY verbose, making it impossible to read the error messages and understand them. When the user finally submits the assignment it fails and the grader gives misleading error messages. A failing unit test should at the very least explain what the test was, what the measured value was, and what was expected. This is especially true when the user is forbidden from looking at the actual testing code. An additional problem with exercise 2, is that the student is asked to calculate a particular percentage, but it is not explained what this is a percentage OF and there are several ways to interpret it. I didn't realize until wasting 2 weeks that there was an alternate interpretation which I could try.In the 3rd exercise some of the comments in the code are wrong/misleading. Particularly with regard to classifiedColumns. comment #3 should read:* 3. other activities (leisure). These are the columns starting with “t02”, “t04”, “t06”, “t07”, “t08”, “t09”, “t10”, “t12”, “t13”, “t14”, “t15”, “t16” and “t18” BUT EXCLUDING those which are not part of the previous groups only. Otherwise the sentence is at best grammatically incorrect, and at worst misleading.Another significant issue with this ""Bit Data"" course is that it assumes a user understands data base and can construct sql queries. Well, such background is not a prerequisite, but the student needs such information to successfully finish the exercises. I can understand the temptation by the course developers to include a section on SQLspark, as this is a very powerful set of spark libraries, but I believe it is beyond the prerequisites. I could not have finished the course if I hadn't had an SQL/data-base expert in the same office, who I could pose questions to.I hope you find my comments useful.",3,en,neutral,understand create course tremendous work let congratulation developer hard work learn lot glad good course speechless finally finish pass albeit imperfect score maiden voyage problem probably correct generally set challenge assignment exercise undemande scala big data component understand ask comment code wrong misleading particular set exercise function poorly specify unit test specification user write test addition exercise intend able efficiently user view week video text output extremely verbose make impossible read error message understand user finally submit assignment fail grader give mislead error message fail unit test explain test measured value expect especially true user forbid look actual testing code additional problem exercise student ask calculate particular percentage explain percentage way interpret realize waste week alternate interpretation exercise comment code wrong misleading particularly regard classifiedcolumn comment read activity leisure column start exclude previous group sentence good grammatically incorrect bad significant issue bit datum course assume user understand data base construct sql query background prerequisite student need information successfully finish exercise understand temptation course developer include section sqlspark powerful set spark library believe prerequisite finish course sql data base expert office pose question hope find comment useful
robotics-mobility,"In some ways good, but deeply flawed. The assignments were weakly correlated with the lectures, and no explanation was given for correct answers or for incorrect answers.I believe the authors would have benefited greatly from getting outside feedback from an advanced undergraduate or beginning graduate student, rather than each other.",2,en,negative,way good deeply flawed assignment weakly correlate lecture explanation give correct answer incorrect believe author benefit greatly get outside feedback advanced undergraduate begin graduate student
html-css-javascript-for-web-developers,"Absolutely brilliant and very entertaining course, which at the same time uncovers a really useful set of tools + I really liked how easy Yaakov made the process of building a site look. This was clearly one of the best courses that I have taken on Coursera.",5,en,positive,absolutely brilliant entertaining course time uncover useful set tool like easy yaakov process build site look clearly good course take coursera
data-science-course,"Too theoretical, e.g, comparison between statistics and ML is not at all useful. Too many quizzes after very short classes and on topics of absolutely generic things.",2,en,negative,theoretical comparison statistic ml useful quiz short class topic absolutely generic thing
python-network-data,With simple and clear illustration of the web structure as bonus,5,en,positive,simple clear illustration web structure bonus
advanced-competitive-strategy,"Nice addition to the ""Competitive Strategy"" course, although not as interesting and practical as the first part... Cases and current examples would have made this section much better.Prof. Tobias Kretschmer ... 5 starsCompetitive Strategy . . . 5 starsAdvanced Competitive Strategy ... 3 stars",3,en,neutral,nice addition competitive strategy course interesting practical case current example section tobias kretschmer starscompetitive strategy starsadvance competitive strategy star
swift-programming,The course should have more programming assignments than just having simple quizzes. And please update the language for SWIFT 3.,3,en,neutral,course programming assignment have simple quiz update language swift
learn-speak-korean1,The whole course was very enjoyable and made very easy to follow. I was able to learn how to form sentences and the essential parts were explained clearly. A++ course!,5,en,positive,course enjoyable easy follow able learn form sentence essential part explain clearly course
machine-learning,"Exceptional lecturer , thanks Sir",5,en,positive,exceptional lecturer thank sir
ml-clustering-and-retrieval,"please rework in particular week 5, part 2",3,en,neutral,rework particular week
brand-management,Okay course. Techniques and content are a bit too traditional.,2,en,negative,okay course technique content bit traditional
principles-of-macroeconomics,i can't see the course teacher so it look like the all parts of course are the same,2,en,negative,course teacher look like part course
physiology,Very informative and concise.,4,en,positive,informative concise
python,"Very basic but good for people who don't have any prior programming experience,",4,en,positive,basic good people prior programming experience
evolvinguniverse,This is a very educational course.I came to know about various facts and this course is very helpful if you have your your interest in universe.all the points are explained in a very good manner.I thank professor Djorgoviski for this course.thanks caltech.,5,en,positive,educational come know fact course helpful interest point explain good thank professor djorgoviski caltech
cyber-security-capstone,"I paid the course and the course seem to be no longer supported, I tried without success to switch session , in summary : You paid and don't get to follow the course, incredible :-( ....... !",1,en,negative,pay course course long support try success switch session summary pay follow course incredible
infodesign,"I was quite disappointed by this course, after several delays the course stated months later than originally planned. The videos are badly edited, and there did not seem to be a lot of content within this course.",2,en,negative,disappointed course delay course state month later originally plan video badly edit lot content course
writing-for-children,Love it!! It gives you the opportunity to explore your short story writing :),5,en,positive,love give opportunity explore short story write
managing-human-resources,The module of legal was very focus on US which does no apply to international students.,3,en,neutral,module legal focus apply international student
neural-networks,"The content presented in this course is really complete and well presented. It is definitively worth taking. Unfortunately, there were a few organization errors like missing video and quizzes errors. On a side note, it's great to be able to learn from Hinton since he has created many of the techniques presented in the course.",4,en,positive,content present course complete present definitively worth take unfortunately organization error like miss video quiz error note great able learn hinton create technique present course
robotics-flight,"the course is ok, but the assignment require a lot of prior knowledge on automation control theory, which can be really difficult to be done.I suggest that they should provide extra material for those students who have only computer science background.",3,en,neutral,course ok assignment require lot prior knowledge automation control theory difficult suggest provide extra material student computer science background
learning-how-to-learn,A powerful learning program for everyone. So glad to join and complete this course. This makes study and learning much easier. Thank you.,5,en,positive,powerful learning program glad join complete course make study learn easy thank
graphic-design-history,Pretty good for such a short course - interesting ideas and exposure to new concepts. Thanks!,5,en,positive,pretty good short course interesting idea exposure new concept thank
businesscap,Nice and interesting.,4,en,positive,nice interesting
craft-of-plot,"i recommend this course , an excellent introduction for an aspiring writer or anyone interested in litterature as it explains and decomposes thorougly the mechanics of plot , thru very alive ideos and sharing of experienced writers , i enjoyed the submissions which taught me disciplin and structure . This experience helped broaden my horizon , i learned a lot from the peer rewiew also , this first module convinced me to go on and complete the full course. Thank you",5,en,positive,recommend course excellent introduction aspire writer interested litterature explain decompose thorougly mechanic plot alive ideo sharing experienced writer enjoy submission teach disciplin structure experience helped broaden horizon learn lot peer rewiew module convince complete course thank
problem-solving,introductory course,2,en,negative,introductory course
emergence-of-life,"Different, fun approach. Basic science.",3,en,neutral,different fun approach basic science
conflict-resolution-skills,Should have been a complete course. The course did not give specific tools to conflict resolution rather information about the subject was disseminated,3,en,neutral,complete course course specific tool conflict resolution information subject disseminate
ios-app-development-basics,"The class format -- only quizzes during most weeks, no programming work, then ending with a *huge* programming assignment -- is really poor pedagogical technique. If you're going to teach programming, have programming assignments *every* *week*, instead of dropping a massive assignment at the very end of the course.",1,en,negative,class format quiz week programming work end huge programming assignment poor pedagogical technique go teach programming program assignment week instead drop massive assignment end course
machine-learning,Good.. But not latest.,3,en,neutral,good late
android-app,i was very excited at the beginning of the coursebut when i figure out that i must paid for unlock some important lecturei really felt disappointed i thought i should only paid if i want to took the Certificatei had been wasted some time at this coursenow i have to search for another course but complete one this time.,1,en,negative,excited beginning coursebut figure pay unlock important lecturei feel disappointed think pay want took certificatei waste time coursenow search course complete time
java-programming,"Couldn't fiish the course. Not hard, but exhausting and not interesting.",2,en,negative,fiish course hard exhausting interesting
engineering-mechanics-statics,Excellent course. Enjoyed the presentation. Variety of examples used.,5,en,positive,excellent course enjoy presentation variety example
fluid-solid-interaction,"It is definitely one of the most interesting MOOC I did and would congratulate you for the simplicity (and fun) with which you explain the complex coupling models and approximations.I am currently working on FSI for bubble collapse close to solid walls in cavitation, and your MOOC has helped me gain perspective and understanding to solve many practical problems.",5,en,positive,definitely interesting mooc congratulate simplicity fun explain complex coupling model currently work fsi bubble collapse close solid wall cavitation mooc help gain perspective understanding solve practical problem
experimental-methods,The questions based on the lectures are quite different and confusing,3,en,neutral,question base lecture different confusing
3d-printing-software,"This particular module (week 3) is written for those students who are already have at least a nodding acquaintance with the software.The videos move so fast that I am not able to detect what is going on. Please believe me when I say that I run a copy of Fusion 360 at the same time as a particular instructional video is playing. I toggle from one to another, taking notes from the instructional video when possible. Still, it takes me weeks, not days, to understand what the professor is doing.It is true that there are several online tutorials with regard to using the sketch tools contained within Fusion 360. I have been reviewing the tutorials that I am able to find -- and I have learned quite a bit of ""how-to"" information that this particular module does not provide.Why is it that some of us who are new to the Fusion 360 environment have come to understand that we need to spend hours of our time to ""fill in the blanks"" of week 3?Are we to keep searching other sources so that we can learn what has not been taught in Week 3? If so, why?Bill Clark",3,en,neutral,particular module week write student nodding acquaintance video fast able detect go believe run copy fusion time particular instructional video play toggle take note instructional video possible take week day understand professor true online tutorial regard sketch tool contain fusion review tutorial able find learn bit information particular module new fusion environment come understand need spend hour time fill blank week search source learn teach week clark
machine-learning,The course is classic and informative. You can find there are thousands of students all over the world learning this lesson and this phenomenon can certify something.,5,en,positive,course classic informative find thousand student world learn lesson phenomenon certify
advanced-data-structures,"It would be very, very beneficial if maybe one or two more videos were added to dive in-depth into ADTs and their method callback run-time analysis. Aside from that this class was educational and interesting as expected.",5,en,positive,beneficial maybe video add dive depth adts method callback run time analysis aside class educational interesting expect
game-development,It was great opportunity of learning game development and designing process. I would like to recommend it highly to everyone who is interested in game development. It will boost your skills and concepts up to expert level.,5,en,positive,great opportunity learn game development designing process like recommend highly interested game development boost skill concept expert level
predictive-modeling-analytics,"With all due respect to the lecturer (its obvious that he is intelligent and an expert on the subject), I found this lesson not easy to participate because of inordinate learning curve and fast accent.",1,en,negative,respect lecturer obvious intelligent expert subject find lesson easy participate inordinate learning curve fast accent
server-side-development,Great course. Smart and fun !,5,en,positive,great course smart fun
internet-of-things-history,Waste of money. What I learned in the first course could is useless information.,1,en,negative,waste money learn course useless information
business-writing,Mostly common knowledge,2,en,negative,common knowledge
altruism,Yet another good course that is ruined by a peer review requirement. Dr. Singer is a fascinating person to learn from and I am glad I took the time to pursue the course.,2,en,negative,good course ruin peer review requirement dr singer fascinating person learn glad take time pursue course
calculus1,"Well done and useful. I have found a passionate professor, a fascinating subject and a superior exercise for the mind.",5,en,positive,useful find passionate professor fascinating subject superior exercise mind
matlab,Perfect course!,5,en,positive,perfect course
infographic-design,Great course that has meaningful value!,5,en,positive,great course meaningful value
raspberry-pi-interface,The course is so simple and just has only a few interesting points.,2,en,negative,course simple interesting point
cybersecurity-mobility,"I liked the combination of video and readings, and short quizzes during the video. Very practical while still academic.",5,en,positive,like combination video reading short quiz video practical academic
python-data,I really enjoy the learning. Specifically I would like to thank you Dr. Chuck for his extraordinary way of teaching python programing.,5,en,positive,enjoy learning specifically like thank dr chuck extraordinary way teach python programing
duke-behavioral-finance,"The first two weeks were great, they were more behavioural economics than behavioural finance specifically. The last week was not up to scratch, readings from the popular press, not experts.",3,en,neutral,week great behavioural economic behavioural finance specifically week scratch reading popular press expert
python,"The method of teaching, quizzes and assignments helped me to learn as much as possible from this course. Thankyou for providing this course!",5,en,positive,method teaching quiz assignment help learn possible course thankyou provide course
emotional-intelligence-leadership,I found this course intensely thought-provoking. I wish to revisit it again just to reflect over the conversations that were part of the active learning assessments. It helped me rethink the methods that I used as part of coaching conversations with my clients and mentees. The course has inspired me to strongly reconsider my social identity group and evaluate the relationship with my inner circle of partners and friends.,5,en,positive,find course intensely thought provoking wish revisit reflect conversation active learning assessment help rethink method coach conversation client mentee course inspire strongly reconsider social identity group evaluate relationship inner circle partner friend
javascript,"The course is good, but some gaps of information in the middle of the course. It could be better organized",3,en,neutral,course good gap information middle course well organize
entrepreneurial-thinking,Really useful,5,en,positive,useful
uva-darden-project-management,Excellent course and really informative and packed,5,en,positive,excellent course informative pack
social-computing,"Content was thin and none of it felt immediately actionable - felt like more of a ""hey isn't this cool"" series of videos rather than something that could be used by a professional.",2,en,negative,content thin feel immediately actionable feel like hey cool series video professional
swift-programming,"Thank you for the course.With all my respect to authors, I have something to say:I beleave all 4 cources in the spesialization could be combine to one. Looks like authors may invest more time and passion to it. I just skipped all videos with Parham Aarabi.",3,en,neutral,thank respect author beleave cource spesialization combine look like author invest time passion skip video parham aarabi
introduction-to-software-product-management,This is an exceptionally good gateway course into software product management.,5,en,positive,exceptionally good gateway course software product management
marketing-digital,was a great course .. thanks,5,en,positive,great course thank
mindfulness,"This course was very enjoyable in learning what mindfulness was to me and better ways to become more mindful in my life. I also found more happiness, joy, and peace from taking this course. I would say overall the best benefit is having less stress from the simple principles covered in this course.",5,en,positive,course enjoyable learn mindfulness well way mindful life find happiness joy peace take course overall good benefit have stress simple principle cover course
analytics-excel,I would not recommend this course. It was very poorly planned and seemed thrown together.,1,en,negative,recommend course poorly plan throw
hybrid-mobile-development,"Quite comprehensive, entertaining course. Unfortunately, not being able to submit the assignments without paying a fee is rather offputting - Especially taking into account we're talking about peer-to-peer reviews",3,en,neutral,comprehensive entertaining course unfortunately able submit assignment pay fee offputting especially take account talk peer peer review
python,This course has added a lot to my knowledge and i do recommend it to anyone who is new to programming and want to learn python! Special Thanks for Dr. Charles for his great way of explaining!,5,en,positive,course add lot knowledge recommend new program want learn python special thank dr charles great way explain
build-a-computer,simple with challenges,5,en,positive,simple challenge
python,"Very well conducted for a beginner, but some lectures seems too long to convey a simple concept.",3,en,neutral,conduct beginner lecture long convey simple concept
